classifier_system;code;parent_code;full_name;level;status
MKS;MKS_ROOT;;Межгосударственный классификатор стандартов (МКС);root;active
MKS;01;MKS_ROOT;Общие положения. Терминология. Стандартизация. Документация;section;active
MKS;01.040;01;Словари;group;active
MKS;01.040.01;01.040;Словари по судостроению;subgroup;active
MKS;01.040.11;01.040;Словари по здравоохранению;subgroup;active
MKS;01.040.13;01.040;Словари по охране окружающей среды и защите человека;subgroup;active
MKS;01.040.21;01.040;Словари по механическим системам и компонентам общего назначения;subgroup;active
MKS;01.040.23;01.040;Словари по гидравлическим и пневматическим системам;subgroup;active
MKS;01.040.25;01.040;Словари по машиностроению;subgroup;active
MKS;01.040.27;01.040;Словари по энергетике и теплотехнике;subgroup;active
MKS;01.040.29;01.040;Словари по электротехнике;subgroup;active
MKS;01.040.31;01.040;Словари по электронике;subgroup;active
MKS;01.040.33;01.040;Словари по телекоммуникациям;subgroup;active
MKS;01.040.35;01.040;Словари по информационным технологиям;subgroup;active
MKS;01.040.45;01.040;Словари по судостроению;subgroup;active
MKS;01.040.47;01.040;Словари по судостроению и морским сооружениям;subgroup;active
MKS;01.040.49;01.040;Словари по авиации и космонавтике;subgroup;active
MKS;01.040.75;01.040;Словари по нефти и газу;subgroup;active
MKS;01.040.77;01.040;Словари по металлургии;subgroup;active
MKS;01.080;01;Графические обозначения;group;active
MKS;01.100;01;Чертежи;group;active
MKS;01.100.20;01.100;Чертежи машиностроительные;subgroup;active
MKS;01.100.30;01.100;Чертежи строительные;subgroup;active
MKS;01.110;01;Техническая документация продукции;group;active
MKS;01.120;01;Стандартизация. Общие положения;group;active
MKS;01.140;01;Издательское дело;group;active
MKS;03;MKS_ROOT;Услуги. Управление компанией. Качество;section;active
MKS;03.080;03;Услуги;group;active
MKS;03.100;03;Управление компанией;group;active
MKS;03.100.70;03.100;Системы менеджмента качества;subgroup;active
MKS;03.120;03;Качество;group;active
MKS;03.120.10;03.120;Управление качеством и обеспечение качества;subgroup;active
MKS;03.120.20;03.120;Сертификация продукции и аккредитация;subgroup;active
MKS;03.220;03;Транспорт;group;active
MKS;03.220.40;03.220;Водный транспорт;subgroup;active
MKS;07;MKS_ROOT;Математика. Естественные науки;section;active
MKS;07.020;07;Математика;group;active
MKS;07.030;07;Физика;group;active
MKS;07.040;07;География;group;active
MKS;07.060;07;Геология;group;active
MKS;13;MKS_ROOT;Охрана окружающей среды. Защита человека;section;active
MKS;13.020;13;Охрана окружающей среды;group;active
MKS;13.030;13;Отходы;group;active
MKS;13.040;13;Качество воздуха;group;active
MKS;13.060;13;Качество воды;group;active
MKS;13.100;13;Безопасность профессиональной деятельности;group;active
MKS;13.110;13;Безопасность машин;group;active
MKS;13.120;13;Безопасность бытовой продукции;group;active
MKS;13.220;13;Пожарная защита;group;active
MKS;13.220.20;13.220;Противопожарные средства;subgroup;active
MKS;13.220.40;13.220;Пожаротушение;subgroup;active
MKS;13.230;13;Взрывозащита;group;active
MKS;13.260;13;Защита от электричества;group;active
MKS;17;MKS_ROOT;Метрология и измерения;section;active
MKS;17.020;17;Метрология и измерения в целом;group;active
MKS;17.040;17;Линейные и угловые измерения;group;active
MKS;17.040.10;17.040;Допуски и посадки;subgroup;active
MKS;17.040.30;17.040;Измерительные приборы;subgroup;active
MKS;17.060;17;Измерения объема, массы, плотности;group;active
MKS;17.100;17;Измерения силы, веса, давления;group;active
MKS;17.120;17;Измерения расхода жидкости;group;active
MKS;17.140;17;Акустические измерения;group;active
MKS;17.200;17;Тепловые измерения;group;active
MKS;17.220;17;Электрические измерения;group;active
MKS;17.220.20;17.220;Измерения электрических и магнитных величин;subgroup;active
MKS;19;MKS_ROOT;Испытания;section;active
MKS;19.020;19;Испытания и условия испытаний в целом;group;active
MKS;19.040;19;Климатические испытания;group;active
MKS;19.060;19;Механические испытания;group;active
MKS;19.100;19;Неразрушающие испытания;group;active
MKS;21;MKS_ROOT;Механические системы и компоненты общего назначения;section;active
MKS;21.020;21;Характеристики и конструкция машин, аппаратов, оборудования;group;active
MKS;21.040;21;Резьбы;group;active
MKS;21.060;21;Крепежные изделия;group;active
MKS;21.060.10;21.060;Болты, винты, шпильки;subgroup;active
MKS;21.060.20;21.060;Гайки;subgroup;active
MKS;21.060.30;21.060;Шайбы;subgroup;active
MKS;21.060.40;21.060;Заклепки;subgroup;active
MKS;21.060.50;21.060;Штифты, шплинты;subgroup;active
MKS;21.060.60;21.060;Кольца, упоры;subgroup;active
MKS;21.060.70;21.060;Зажимы;subgroup;active
MKS;21.120;21;Валы и муфты;group;active
MKS;21.120.10;21.120;Валы;subgroup;active
MKS;21.120.20;21.120;Муфты;subgroup;active
MKS;21.120.30;21.120;Шпоночные и шлицевые соединения;subgroup;active
MKS;21.140;21;Уплотнения;group;active
MKS;21.160;21;Пружины;group;active
MKS;21.180;21;Корпуса;group;active
MKS;21.200;21;Зубчатые передачи;group;active
MKS;21.220;21;Тормозные системы;group;active
MKS;21.220.10;21.220;Тормозные устройства;subgroup;active
MKS;21.220.20;21.220;Фрикционные накладки;subgroup;active
MKS;21.220.30;21.220;Тормозные жидкости;subgroup;active
MKS;23;MKS_ROOT;Гидравлические и пневматические системы;section;active
MKS;23.020;23;Сосуды под давлением;group;active
MKS;23.020.10;23.020;Стационарные сосуды;subgroup;active
MKS;23.020.30;23.020;Газовые баллоны;subgroup;active
MKS;23.040;23;Трубопроводы и фитинги;group;active
MKS;23.040.10;23.040;Трубы стальные;subgroup;active
MKS;23.040.15;23.040;Трубы из цветных металлов;subgroup;active
MKS;23.040.20;23.040;Трубы пластмассовые;subgroup;active
MKS;23.040.40;23.040;Фитинги;subgroup;active
MKS;23.040.60;23.040;Фланцы, муфты;subgroup;active
MKS;23.040.70;23.040;Шланги;subgroup;active
MKS;23.060;23;Клапаны;group;active
MKS;23.060.10;23.060;Задвижки;subgroup;active
MKS;23.060.20;23.060;Шаровые краны;subgroup;active
MKS;23.060.30;23.060;Затворы;subgroup;active
MKS;23.060.40;23.060;Регулирующие клапаны;subgroup;active
MKS;23.060.50;23.060;Обратные клапаны;subgroup;active
MKS;23.060.60;23.060;Предохранительные клапаны;subgroup;active
MKS;23.080;23;Насосы;group;active
MKS;25;MKS_ROOT;Машиностроение;section;active
MKS;25.020;25;Технология изготовления в целом;group;active
MKS;25.040;25;Промышленные автоматизированные системы;group;active
MKS;25.060;25;Системы инструментов;group;active
MKS;25.080;25;Металлорежущие станки;group;active
MKS;25.100;25;Абразивные инструменты;group;active
MKS;25.120;25;Оборудование для обработки без снятия стружки;group;active
MKS;25.140;25;Сварочное оборудование;group;active
MKS;25.160;25;Сварка;group;active
MKS;25.160.10;25.160;Сварные швы;subgroup;active
MKS;25.160.20;25.160;Сварочные материалы;subgroup;active
MKS;25.160.30;25.160;Сварочное оборудование;subgroup;active
MKS;25.160.40;25.160;Сварные соединения;subgroup;active
MKS;25.200;25;Термическая обработка;group;active
MKS;25.220;25;Защитные покрытия;group;active
