source,path,name,extension,size_bytes,size_mb,pages,chars,avg_chars_per_page,low_text_pages,status,extracted_path,sample,error
gdrive_source,data\gdrive_source\16094.360200.004_рев.4т Расположение и нумерация помещений.dwg,16094.360200.004_рев.4т Расположение и нумерация помещений.dwg,.dwg,4140982,3.949,,,,,needs_cad_converter,,,
gdrive_source,data\gdrive_source\16094.360200.035 Разбивка судна на секции. Припуски.dwg,16094.360200.035 Разбивка судна на секции. Припуски.dwg,.dwg,1466026,1.398,,,,,needs_cad_converter,,,
gdrive_source,data\gdrive_source\17041.362141.20306СБ_a2.dwg,17041.362141.20306СБ_a2.dwg,.dwg,12269805,11.701,,,,,needs_cad_converter,,,
gdrive_source,data\gdrive_source\17041.362141.50501_a1.dwg,17041.362141.50501_a1.dwg,.dwg,3959453,3.776,,,,,needs_cad_converter,,,
gdrive_source,data\gdrive_source\2-020101-174-2.pdf,2-020101-174-2.pdf,.pdf,8355794,7.969,336,796914,2349.1,0,read,data\extracted_text\gdrive_source\2-020101-174-2__5df610d3dd.txt,"===== PAGE 1 =====
РОССИЙСКИЙ МОРСКОЙ РЕГИСТР СУДОХОДСТВА 
 
 
Версия: 01.01.2026 
 
 
 
 
 
ПРАВИЛА 
КЛАССИФИКАЦИИ И ПОСТРОЙКИ 
МОРСКИХ СУДОВ 
 
ЧАСТЬ II 
КОРПУС 
 
 
НД № 2-020101-174 
 
 
 
 
 
 
 
Санкт-Петербург

===== PAGE 2 =====
ПРАВИЛА КЛАССИФИКАЦИИ И ПОСТРОЙКИ МОРСКИХ СУДОВ (ЧАСТЬ II) 
 
© Российский морской регистр судоходства, 2026 
Настоящая версия части II «Корпус» Правил классификации и постройки морских 
судов Российского морского регистра судоходства (РС, Регистр) утверждена 
в",
gdrive_source,data\gdrive_source\21900M2 360061 427_06.1 Альбом типовых конструкций.pdf,21900M2 360061 427_06.1 Альбом типовых конструкций.pdf,.pdf,5024946,4.792,80,56522,684.7,0,read,data\extracted_text\gdrive_source\21900M2_360061_427_06.1_Альбом_типовых_конструкций__8dd3545c20.txt,"===== PAGE 1 =====
Справ. №
Первичное применение
Инв. № дубл.
Подпись и дата
Взамен инв. №
Инв. № подл.
Подпись и дата
Копировал
Формат А4
Подпись
Н. контр.
Утвердил
Проверил
Нач. отд.
Изм.
Разработ.
Лист N документа
Листов
Дата
Лист
Литера
Масса
Масштаб
ПКБ ""ПЕТРОБАЛТ""
Россия, С.-Петербург
тел. +7 (812) 644-56-86
корпусных конструкций
Альбом типовых
80
1
21900M2.360061.427
Котикова
Гаврилов
Николаев
Тряпицына
Тимофеев
21900M2.360061.427
Альбом типовых
корпусных конструкций
18.02.22
18.02.22
18.",
gdrive_source,data\gdrive_source\21900M2 362135.0903СБ_02.pdf,21900M2 362135.0903СБ_02.pdf,.pdf,7027843,6.702,17,29238,1698.5,0,read,data\extracted_text\gdrive_source\21900M2_362135.0903СБ_02__f8e4dd0834.txt,"===== PAGE 1 =====
Копировал
Формат А1
Справ. N
Первичное применение
Инв. N дубл.
Подпись и дата
Взамен инв. N
Инв. N подл.
Подпись и дата
Подпись
Н. контр.
Утвердил
Проверил
Нач. отд.
Изм.
Разработ.
Лист N документа
Листов
Дата
Лист
Литера
Масса
Масштаб
ПКБ ""ПЕТРОБАЛТ""
Россия, С.-Петербург
тел. +7 (812) 644-56-86
21900M2.362135.0903СБ
Платформа
с нижележащими выгородками
в районе 52-66 шп. ЛБ
17
1:25
1
21900M2.362135.0903СБ
-
Волженина
Рахлеев
Гаврилов
Тряпицына
Тимофеев
Таблица условных обозна",
gdrive_source,data\gdrive_source\21900M2.362135.0903_02.pdf,21900M2.362135.0903_02.pdf,.pdf,141731,0.135,29,35934,1217.5,0,read,data\extracted_text\gdrive_source\21900M2.362135.0903_02__556758a767.txt,"===== PAGE 1 =====
01010211
4.31
5.41
01010301
4.24
3.78
01010303
2.25
3.65
010106
3.71
4.70
Итого:
3.71
4.70
02
24.12.25 Волженина
01
24.06.25 Волженина
Изм.
Дата
Разработал
Изм. Лист
№ докум.
Подп.
Дата
Оформил
Волженина
20.05.25
Лист
Листов
Нач. бюро
Рахлеев
20.05.25
1
29
Вед. проекта
Гаврилов
20.05.25
Нач. ОКПП
Тряпицына
20.05.25
Тимофеев
20.05.25
47.48
4.62
47.85
47.50
10.33
Подпись и дата
Перв. примен.
Справ. №
47.24
21.22
0.36
36.53
47.48
Масса, т
Плечо, м
Нагрузка по ОСТ 5.0206-2002
Огра",
gdrive_source,data\gdrive_source\21900M2.362190.001_01 - Разбивка корпуса на блоки и секции.dwg,21900M2.362190.001_01 - Разбивка корпуса на блоки и секции.dwg,.dwg,970547,0.926,,,,,needs_cad_converter,,,
gdrive_source,data\gdrive_source\KR501 - карта раскроя.dwg,KR501 - карта раскроя.dwg,.dwg,311656,0.297,,,,,needs_cad_converter,,,
gdrive_source,data\gdrive_source\SFI Классификатор.doc,SFI Классификатор.doc,.doc,287232,0.274,,,,,needs_doc_converter,,,
gdrive_source,data\gdrive_source\SFI перевод.xlsx,SFI перевод.xlsx,.xlsx,173739,0.166,,246929,,,read,data\extracted_text\gdrive_source\SFI_перевод__ccbe22783a.txt,"===== SHEET Лист1 =====
НОМЕР | АнглНаимен ИСПРАВЛ. | ПЕРЕВОД_чистовой
1 | SHIP GENERAL | СУДНО ОБЩЕЕ
10 | SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES | СПЕЦИФИКАЦИЯ, СМЕТА, ЧЕРТЕЖИ, ИНСТРУКЦИИ, КУРСЫ
101 | CONTRACT/SPECIFIC. WORK, GENERAL DESIGN, MODEL TESTING | ДОГОВОР/СПЕЦИФИЧЕСКИЕ РАБОТЫ, ОБЩЕЕ ПРОЕКТИРОВАНИЕ, ИСПЫТАНИЯ МОДЕЛЕЙ
101001 | Towing tank tests | БУКСИРОВОЧНЫЕ ИСПЫТАНИЯ
101005 | Funnel tests | ИСПЫТАНИЯ ДЫМОВОЙ ТРУБЫ
101010 | Propeller cavitation tests | ИСПЫТАНИЯ КАВ",
