run,model,family,dim,prompt,P@5,R@5,MRR,NDCG@5,Hit@5,MAP,search_sec,n_chunks
2B.1,Qwen3-Embedding-4B,qwen,2560,none,0.2,1.0,0.8996,0.9254,1.0,0.8996,13.2,3745
2B.2,Qwen3-Embedding-4B,qwen,2560,instruct,0.2,1.0,0.8769,0.9086,1.0,0.8769,13.1,3745
2B.3,Qwen3-Embedding-8B,qwen,4096,none,0.2,1.0,0.9148,0.9367,1.0,0.9148,12.74,3745
2B.4,Qwen3-Embedding-8B,qwen,4096,instruct,0.2,1.0,0.9053,0.9299,1.0,0.9053,13.05,3745
2B.5,multilingual-e5-large,e5,1024,e5,0.1955,0.9773,0.9129,0.9294,0.9773,0.9129,1.9,3745
2B.6,bge-m3,st,1024,none,0.1955,0.9773,0.8826,0.9072,0.9773,0.8826,1.96,3745
2B.7,paraphrase-multilingual-MiniLM-L12-v2,st,384,none,0.1909,0.9545,0.6951,0.7625,0.9545,0.6951,1.34,3745
2B.8,Qwen3-Embedding-8B,qwen,2048,none+mrl,0.2,1.0,0.9034,0.9283,1.0,0.9034,12.65,3745
2B.9,Qwen3-Embedding-8B,qwen,1536,none+mrl,0.2,1.0,0.9023,0.9273,1.0,0.9023,12.63,3745
2B.8b,Qwen3-Embedding-4B,qwen,2048,none+mrl,0.2,1.0,0.8958,0.9224,1.0,0.8958,12.64,3745
2B.9b,Qwen3-Embedding-4B,qwen,1536,none+mrl,0.2,1.0,0.8958,0.9224,1.0,0.8958,12.95,3745
