question_idx,S1 (Vector),S2 (Vector+Rerank),S3 (BM25),S4 (Hybrid),S5 (Hybrid+Rerank),S6 (Hybrid_RRF),S7 (Hybrid_RRF+Rerank),S8 (Hybrid+MultiQuery),S9 (Hybrid+MQ+Rerank)
1,1.0,1.0,0.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.5
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
7,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0
15,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.0,1.0,0.25
19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
21,0.5,1.0,0.3333333333333333,0.25,1.0,0.5,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,0.3333333333333333
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
32,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.14285714285714285
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
39,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
